Name,Users Rating,Type,Address,Zip Code,# Inspections,Last Inspection,Score
ACAPULCO BEACH REST,"Average ""ACAPULCO BEACH REST"" Rating: n/a",Restaurant,3112 N Main St,76106,8,01/05/2016,91.0
ACAPULCO RESTAURANT,"Average ""ACAPULCO RESTAURANT"" Rating: n/a",Restaurant,1320 Nw 25th St,76164,9,12/14/2015,88.0
ACAPULCO RESTAURANT,"Average ""ACAPULCO RESTAURANT"" Rating: n/a",Restaurant,2612 Ephriham Ave,76106,6,01/08/2016,79.0
ACE SUSHI,"Average ""ACE SUSHI"" Rating: n/a",Snack Bar,7400 Oakmont Blvd,76132,4,10/29/2015,75.0
ACRE DISTILLING CO,"Average ""ACRE DISTILLING CO"" Rating: n/a",Lounge,1309 Calhoun St,76102,2,12/24/2015,100.0
ACUNAS AGUAS FRESCAS,"Average ""ACUNAS AGUAS FRESCAS"" Rating: 5.0",Snack Bar,2504 Azle Ave,76106,3,11/30/2015,92.0
ADAMS MINI MART,"Average ""ADAMS MINI MART"" Rating: n/a",Restaurant,2500 Ne 28th St,76106,2,02/01/2016,100.0
AFC SUSHI,"Average ""AFC SUSHI"" Rating: n/a",Restaurant,1301 Pennsylvania Ave,76104,6,01/07/2016,91.0
AFG FOOD MART,"Average ""AFG FOOD MART"" Rating: n/a",Snack Bar,1500 Everman Pkwy,76140,4,09/22/2015,64.0
AFRICAN FOOD BUFFET & BAR,"Average ""AFRICAN FOOD BUFFET & BAR"" Rating: n/a",Restaurant,5250 N Tarrant Pkwy,76137,2,10/07/2015,94.0
AGUILERA CAFE,"Average ""AGUILERA CAFE"" Rating: n/a",Restaurant,2005 N Grove St,76106,6,12/15/2015,84.0
AIDS OUTREACH CENTER,"Average ""AIDS OUTREACH CENTER"" Rating: n/a",Grocery Store -- Retail,400 N Beach St,76111,2,09/28/2015,97.0
AL NOOR INTERNATIONAL FOODS,"Average ""AL NOOR INTERNATIONAL FOODS"" Rating: n/a",Grocery Store -- Retail,8650 Meadowbrook Dr,76120,1,10/23/2015,100.0
ALBERTSONS #4032,"Average ""ALBERTSONS #4032"" Rating: n/a",Deli -- Retail,3563 Alton Rd,76109,19,12/22/2015,93.0
ALBERTSONS #4151,"Average ""ALBERTSONS #4151"" Rating: n/a",Bakery -- Retail,4400 Western Center Blvd,76137,18,01/11/2016,97.0
ALBERTSONS #4198,"Average ""ALBERTSONS #4198"" Rating: n/a",Grocery Store -- Retail,10800 N Beach St,76248,18,12/21/2015,89.0
ALBERTSONS #4223,"Average ""ALBERTSONS #4223"" Rating: n/a",Grocery Store -- Retail,9300 Clifford St,76108,20,12/18/2015,100.0
ALBERTSONS #4272,"Average ""ALBERTSONS #4272"" Rating: n/a",Bakery -- Retail,850 E Loop 820,76112,18,01/15/2016,97.0
ALBERTSONS #4277,"Average ""ALBERTSONS #4277"" Rating: n/a",Bakery -- Retail,3525 Sycamore School Rd,76133,18,01/26/2016,97.0
ALBERTSONS #4286,"Average ""ALBERTSONS #4286"" Rating: n/a",Deli -- Retail,6700 West Freeway,76116,16,01/02/2016,100.0
ALBERTSONS LLC #4124,"Average ""ALBERTSONS LLC #4124"" Rating: 1.0",Grocery Store -- Retail,7400 Oakmont Blvd,76132,15,01/21/2016,94.0
ALCON ASPEX CAFETERIA,"Average ""ALCON ASPEX CAFETERIA"" Rating: n/a",Restaurant,300 E Altamesa Blvd,76140,3,10/27/2015,96.0
ALCON LABS,"Average ""ALCON LABS"" Rating: n/a",Restaurant,6201 South Freeway,76134,15,12/15/2015,96.0
ALDI #60,"Average ""ALDI #60"" Rating: n/a",Grocery Store -- Retail,7440 Mccart Ave,76133,2,01/06/2016,93.0
ALDI #71,"Average ""ALDI #71"" Rating: 5.0",Grocery Store -- Retail,5617 S Hulen St,76132,2,01/06/2016,97.0
ALDI #80,"Average ""ALDI #80"" Rating: n/a",Grocery Store -- Retail,1620 Eastchase Pkwy,76120,2,01/19/2016,100.0
ALDI FOOD STORE #51,"Average ""ALDI FOOD STORE #51"" Rating: n/a",Grocery Store -- Retail,9660 Legacy Dr,76108,2,06/15/2015,100.0
ALDI INC,"Average ""ALDI INC"" Rating: n/a",Grocery Store -- Retail,5728 N Tarrant Pkwy,76244,2,08/04/2015,94.0
ALEGRIA,"Average ""ALEGRIA"" Rating: n/a",Lounge,221 Riverside Dr,76111,2,06/13/2015,87.0
ALL AMERICAN GROCERY & KITCHEN,"Average ""ALL AMERICAN GROCERY & KITCHEN"" Rating: n/a",Restaurant,2301 S Riverside Dr,76104,6,12/22/2015,90.0
ALL SAINTS CATHOLIC SCHOOL,"Average ""ALL SAINTS CATHOLIC SCHOOL"" Rating: n/a",Restaurant,2006 N Houston St,76106,6,01/08/2016,84.0
ALL SAINTS COMMUNITY CENTER,"Average ""ALL SAINTS COMMUNITY CENTER"" Rating: n/a",Restaurant,200 Nw 20th St,76164,2,09/24/2015,88.0
ALL SAINTS EPISCOPAL CHURCH,"Average ""All Saints Episcopal Church"" Rating: n/a",Produce -- Retail,5001 Crestline Rd,76107,1,09/29/2015,100.0
ALL SAINTS EPISCOPAL SCH OF FT,"Average ""ALL SAINTS EPISCOPAL SCH OF FT"" Rating: n/a",Restaurant,9705 Saints Cir,76108,3,11/19/2015,85.0
ALL SAINTS HOSPITAL,"Average ""ALL SAINTS HOSPITAL"" Rating: n/a",Restaurant,1400 8th Ave,76104,17,02/01/2016,94.0
ALL SAINTS HOSPITAL DC CNTR,"Average ""ALL SAINTS HOSPITAL DC CNTR"" Rating: n/a",Child Care Kitchen,1709 N Enderly Pl,76104,3,08/07/2015,86.0
ALL SAINTS UPPER SCHOOL,"Average ""ALL SAINTS UPPER SCHOOL"" Rating: n/a",Deli -- Retail,9750 Saints Cir,76108,3,11/19/2015,87.0
ALL STARS EARLY LEARNING CENTER,"Average ""ALL STARS EARLY LEARNING CENTER"" Rating: n/a",Child Care Kitchen,1140 Morrison Dr,76120,4,02/12/2016,94.0
ALLEN FOOD STORE,"Average ""ALLEN FOOD STORE"" Rating: 4.5",Grocery Store -- Retail,1621 Evans Ave,76104,2,07/22/2015,90.0
ALLISONS FOOD STORE,"Average ""ALLISONS FOOD STORE"" Rating: 5.0",Grocery Store -- Retail,420 Isbell Rd,76114,2,12/21/2015,86.0
ALMAS PALETERIA,"Average ""ALMAS PALETERIA"" Rating: n/a",Restaurant,1215 E Seminary Dr,76115,3,10/19/2015,89.0
ALONTI,"Average ""ALONTI"" Rating: n/a",Deli -- Retail,801 Cherry St,76102,2,08/28/2015,87.0
ALONTI CAFE,"Average ""ALONTI CAFE"" Rating: n/a",Deli -- Retail,203 Commerce St,76102,5,10/16/2015,84.0
ALS QUICK STOP INC,"Average ""ALS QUICK STOP INC"" Rating: n/a",Restaurant,5401 Sun Valley Dr,76119,8,02/04/2016,86.0
ALS RECREATION,"Average ""ALS RECREATION"" Rating: n/a",Lounge,1309 Bessie St,76104,3,04/16/2015,94.0
ALTAMESA DONUTS,"Average ""ALTAMESA DONUTS"" Rating: n/a",Snack Bar,3843 Altamesa Blvd,76133,1,01/29/2015,85.0
ALTAMESA FINE FOODS,"Average ""ALTAMESA FINE FOODS"" Rating: n/a",Grocery Store -- Retail,3850 Altamesa Blvd,76133,5,08/19/2015,84.0
AM AIR RESERVATION OFFICE,"Average ""AM AIR RESERVATION OFFICE"" Rating: n/a",Restaurant,4700 American Blvd,76155,6,12/03/2015,85.0
AMAKA CHILD CARE CENTER,"Average ""AMAKA CHILD CARE CENTER"" Rating: n/a",Child Care Kitchen,1501 Stephenson St,76102,3,10/30/2015,89.0
AMANDA FOOD STORE,"Average ""AMANDA FOOD STORE"" Rating: n/a",Grocery Store -- Retail,1527 Amanda Ave,76105,1,01/20/2015,94.0
AMAZING CAFE,"Average ""AMAZING CAFE"" Rating: n/a",Snack Bar,13500 Heritage Pkwy,76177,2,09/21/2015,100.0
AMC EASTCHASE 9,"Average ""AMC EASTCHASE 9"" Rating: n/a",Snack Bar,8301 Ederville Rd,76120,4,09/06/2015,87.0
AMC HULEN 10,"Average ""AMC HULEN 10"" Rating: n/a",Snack Bar,6330 Hulen Bend Blvd,76132,2,01/22/2016,91.0
AMC PALACE 9 THEATRES,"Average ""AMC PALACE 9 THEATRES"" Rating: n/a",Snack Bar,220 E 3rd St,76102,3,01/21/2015,88.0
AMERICAN FOOD & VENDING SVC OF MO INC,"Average ""AMERICAN FOOD & VENDING SVC OF MO INC"" Rating: n/a",Deli -- Retail,4301 Cambridge Rd,76155,6,02/04/2016,93.0
AMERICAN MARKET,"Average ""AMERICAN MARKET"" Rating: n/a",Meat Market -- Retail,4200 Miller Ave,76119,5,10/01/2015,94.0
AMERICAS BEST VALUE INN,"Average ""AMERICAS BEST VALUE INN"" Rating: n/a",Snack Bar,8345 West Freeway,76116,1,06/23/2015,94.0
AMIGO #2,"Average ""AMIGO #2"" Rating: n/a",Grocery Store -- Retail,2113 W Long Ave,76106,1,01/27/2016,96.0
AMIGO C STORE,"Average ""AMIGO C STORE"" Rating: n/a",Grocery Store -- Retail,1108 Nw 21st St,76164,2,11/09/2015,79.0
AMIGO TWO,"Average ""AMIGO TWO"" Rating: n/a",Grocery Store -- Retail,5500 Hemphill St,76115,2,07/11/2015,90.0
AMIGOS FOOD MART #3,"Average ""AMIGOS FOOD MART #3"" Rating: n/a",Grocery Store -- Retail,3705 Ryan Ave,76110,2,09/16/2015,78.0
AMIGOS FOOD STORE #2,"Average ""AMIGOS FOOD STORE #2"" Rating: n/a",Grocery Store -- Retail,2844 South Freeway,76104,2,04/15/2015,85.0
AMPHIBIAN STAGE PRODUCTIONS,"Average ""AMPHIBIAN STAGE PRODUCTIONS"" Rating: n/a",Lounge,120 S Main St,76104,2,09/15/2015,91.0
AMYS RESTAURANT,"Average ""AMYS RESTAURANT"" Rating: n/a",Restaurant,1537 N Main St,76164,2,06/27/2015,76.0
AMYS WHEEL IN,"Average ""AMYS WHEEL IN"" Rating: n/a",Grocery Store -- Retail,810 W Northside Dr,76164,6,12/14/2015,88.0
AN ZEN ASIAN BISTRO & SUSHI BAR,"Average ""AN ZEN ASIAN BISTRO & SUSHI BAR"" Rating: n/a",Restaurant,2740 Western Center Blvd,76131,9,12/14/2015,76.0
ANA KAREN BAKERY #5,"Average ""ANA KAREN BAKERY #5"" Rating: n/a",Restaurant,8751 Camp Bowie West Blvd,76116,8,12/02/2015,77.0
ANAKAREN BAKERY,"Average ""ANAKAREN BAKERY"" Rating: n/a",Bakery -- Retail,2501 W Seminary Dr,76115,4,07/22/2015,79.0
ANAKARENS BAKERY #2,"Average ""ANAKARENS BAKERY #2"" Rating: n/a",Bakery -- Retail,1308 N Sylvania Ave,76111,1,04/15/2015,74.0
ANDY FOOD STORE,"Average ""ANDY FOOD STORE"" Rating: n/a",Grocery Store -- Retail,3704 Granbury Rd,76109,1,07/14/2015,100.0
ANDYS FOOD STORE,"Average ""ANDYS FOOD STORE"" Rating: n/a",Grocery Store -- Retail,4470 Southwest Blvd,76116,2,06/27/2015,85.0
ANGELOS B-B-Q,"Average ""ANGELOS B-B-Q"" Rating: n/a",Restaurant,2533 White Settlement Rd,76107,6,12/03/2015,92.0
ANGIES BIKKLES,"Average ""ANGIES BIKKLES"" Rating: n/a",Restaurant,1704 Galveston Ave,76110,4,11/05/2015,85.0
ANNS DONUTS,"Average ""ANNS DONUTS"" Rating: n/a",Bakery -- Retail,4450 Boat Club Rd,76135,3,12/03/2015,90.0
ANTHONYS CLUB,"Average ""ANTHONYS CLUB"" Rating: n/a",Lounge,8104 Camp Bowie West Blvd,76116,2,09/28/2015,94.0
ANTOJITOS LATINOS,"Average ""ANTOJITOS LATINOS"" Rating: n/a",Restaurant,5201 Mccart Ave,76115,8,12/02/2015,90.0
ANV QUICK STOP,"Average ""ANV QUICK STOP"" Rating: n/a",Snack Bar,3000 N Main St,76106,4,02/01/2016,76.0
APPLEBEES NEIGHBORHOOD BAR & GRILL,"Average ""APPLEBEES NEIGHBORHOOD BAR & GRILL"" Rating: n/a",Restaurant,6600 West Freeway,76116,8,12/10/2015,83.0
ARBYS,"Average ""ARBYS"" Rating: n/a",Restaurant,3788 Boat Club Rd,76135,3,11/30/2015,91.0
ARBYS,"Average ""ARBYS"" Rating: n/a",Restaurant,9441 Clifford St,76108,3,10/07/2015,93.0
ARBYS,"Average ""ARBYS"" Rating: n/a",Restaurant,5400 Blue Mound Rd,76106,3,11/24/2015,91.0
ARBYS #5233,"Average ""ARBYS #5233"" Rating: n/a",Restaurant,3832 Altamesa Blvd,76133,3,09/30/2015,86.0
ARBYS #8038,"Average ""ARBYS #8038"" Rating: n/a",Restaurant,601 Alta Mere Dr,76116,3,11/25/2015,94.0
ARK GROCERY,"Average ""ARK GROCERY"" Rating: n/a",Grocery Store -- Retail,1211 W Seminary Dr,76115,1,09/22/2015,89.0
ARTS AMENITIES AT BASS HALL,"Average ""ARTS AMENITIES AT BASS HALL"" Rating: n/a",Lounge,330 E 4th St,76102,3,09/09/2015,100.0
ASH CREEK FARMS,"Average ""ASH CREEK FARMS"" Rating: n/a",Spa,1700 University Dr,76107,2,10/03/2015,100.0
ASH CREEK FARMS,"Average ""ASH CREEK FARMS"" Rating: n/a",Spa,3821 Southwest Blvd,76116,2,07/11/2015,97.0
ASHTON DEPOT THE,"Average ""ASHTON DEPOT THE"" Rating: n/a",Restaurant,1401 Jones St,76102,2,10/28/2015,93.0
ASHTON HOTEL THE,"Average ""ASHTON HOTEL THE"" Rating: n/a",Restaurant,610 Main St,76102,8,11/16/2015,85.0
ASIA BOWL & GRILL,"Average ""ASIA BOWL & GRILL"" Rating: n/a",Restaurant,2400 Lands End Blvd,76116,6,11/13/2015,83.0
ASIAN GOURMET,"Average ""ASIAN GOURMET"" Rating: n/a",Restaurant,1550 Eastchase Pkwy,76120,2,11/03/2015,75.0
ASIAN MUSIC & FOOD MART,"Average ""ASIAN MUSIC & FOOD MART"" Rating: n/a",Grocery Store -- Retail,2905 N Beach St,76111,3,08/25/2015,93.0
ASIAN NIGHTS,"Average ""ASIAN NIGHTS"" Rating: n/a",Lounge,2905 N Beach St,76111,2,07/01/2015,91.0
AUNTIE ANNES PRETZELS,"Average ""AUNTIE ANNES PRETZELS"" Rating: n/a",Snack Bar,1888 Green Oaks Rd,76116,4,01/19/2016,81.0
AUNTIE ANNES TX 167,"Average ""AUNTIE ANNES TX 167"" Rating: n/a",Snack Bar,4800 S Hulen St,76132,2,08/21/2015,77.0
AUTUMN LEAVES OF SOUTH FORT WORTH,"Average ""AUTUMN LEAVES OF SOUTH FORT WORTH"" Rating: n/a",Restaurant,7100 Dutch Branch Rd,76132,6,02/10/2016,91.0
AV SNOWCONES,"Average ""AV SNOWCONES"" Rating: n/a",Snack Bar,2607 Yucca Ave,76111,1,04/20/2015,100.0
AVENTINOS ITALIAN,"Average ""AVENTINOS ITALIAN"" Rating: n/a",Restaurant,5800 Lovell Ave,76107,4,10/26/2015,78.0
AVOCA COFFEE,"Average ""AVOCA COFFEE"" Rating: n/a",Snack Bar,1311 W Magnolia Ave,76104,4,10/27/2015,87.0
AY APA LA TAQUERIA,"Average ""AY APA LA TAQUERIA"" Rating: n/a",Restaurant,3139 E Seminary Dr,76119,1,11/12/2015,97.0
